08/14/23 10:20:44 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (14752) - No such process
08/14/23 10:20:44 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:45 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (15071) - No such process
08/14/23 10:20:45 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (15071) - No such process
08/14/23 10:20:45 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:46 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (15391) - No such process
08/14/23 10:20:46 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (15391) - No such process
08/14/23 10:20:46 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:47 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (15709) - No such process
08/14/23 10:20:47 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (15709) - No such process
08/14/23 10:20:47 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:48 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (16028) - No such process
08/14/23 10:20:48 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (16028) - No such process
08/14/23 10:20:48 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:49 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (16346) - No such process
08/14/23 10:20:49 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (16346) - No such process
08/14/23 10:20:49 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:50 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:50 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (17262) - No such process
08/14/23 10:20:50 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (17262) - No such process
08/14/23 10:20:50 EST -0500 | tcpdump: can't parse filter expression: syntax error
